node_1,node_2,weight
"most recent model (hein and diepold 2022, vt)",test trials,
"most recent model (hein and diepold 2022, vt)",video,
"most recent model (hein and diepold 2022, vt)",voe paradigm,
"mota, t.","sridharan, m.",
mse,preference task,
mse,tasks,
mse,prediction error,
multi-agent,multi-agent task,
multi-agent,no barrier,
multi-agent,p,
multi-agent,preference task,
multi-agent,relational graphs,
multi-agent,s,
multi-agent task,no barrier,
multi-agent task,p,
multi-agent task,preference task,
multi-agent task,s,
natural language processing,international joint conference on natural language processing,
navigation preference,single-object multiple-agent,
neural network,reasoning tasks,
neural network,video transformer,
neural network,vt,
no barrier,p,
no barrier,preference task,
no barrier,s,
node embeddings,node features,
node embeddings,remote directional relations,
node embeddings,state embedding,
node features,prediction net,
node features,remote directional relations,
node features,"type, position, color, shape",
nodes,performance,
nodes,remote relations,
"normalised between [-1, 1]",position,
"normalised between [-1, 1]",transformer,
"normalised between [-1, 1]",type,
"normalised between [0, 1]",position,
"normalised between [0, 1]",transformer,
"normalised between [0, 1]",type,
novel model,performance,
novel model,training tasks,
objects,position,
objects,state encoder,
objects,sub-tasks,
objects,tasks,
objects,trajectories,
objects,transformer,
objects,transformer context encoder,
objects,trials,
objects,type,
observer,preference task,
observer,tasks,
observer,voe paradigm,
observer model,preference task,
observer model,tasks,
observer model,test trials,
observer model,voe paradigm,
obstacles,performance,
obstacles,remote relations,
one-hot vectors,position,
one-hot vectors,transformer,
one-hot vectors,type,
output dimension two,prediction net,
output dimension two,results,
output dimension two,state encoder,
output dimension two,transformer encoder,
p,preference task,
p,s,
"parmar, n.","uszkoreit, j.",
path control,relational graphs,
performance,reasoning performance,
performance,remote relations,
performance,resulting model,
performance,state and context representations,
performance,state encoder,
performance,training tasks,
performance,transformer,
performance,unseen evaluation tasks,
performance,worse scores,
performance scores,training tasks,
piloto et al.,riochet et al.,
piloto et al.,shu et al.,
piloto et al.,violation of expectation paradigm,
piloto et al.,weihs et al.,
piqa,physical commonsense in natural language,
position,shape,
position,spatial relations,
position,states,
position,training and evaluation on the baby intuitions benchmark,
position,transformer,
position,type,
position,violation of expectation paradigm,
position,weights,
prediction error,preference task,
prediction error,tasks,
prediction net,remote directional relations,
prediction net,results,
prediction net,stack of six layers,
prediction net,state encoder,
prediction net,transformer encoder,
prediction net,video-rnn,
prediction net,voe accuracy scores,
prediction net,vt model,
preference,relational graphs,
preference task,s,
preference task,tasks,
preference task,test trials,
preference task,training set,
preference task,unexpected trials,
preference task,voe paradigm,
probing physics knowledge using tools from developmental psychology,arxiv preprint arxiv:1804.01128,
rational agents,reasoning tasks,
rational agents,training tasks,
rational agents,transformer,
rational agents,video transformer,
rational agents,vt,
reasoning performance,training tasks,
reasoning tasks,theory of mind network,
reasoning tasks,training tasks,
reasoning tasks,transformer,
reasoning tasks,video frames,
reasoning tasks,video transformer,
reasoning tasks,vt,
relational graphs,remote,
relational graphs,results,
relational graphs,time control,
relational graphs,video-rnn,
relational graphs,vt,
remote,results,
remote directional relations,"type, position, color, shape",
remote relations,resulting model,
remote relations,state encoder,
remote relations,worse scores,
research,visual scene understanding,
resulting model,worse scores,
results,stack of six layers,
results,state encoder,
results,t-tests,
results,table 2,
results,transformer,
results,transformer encoder,
results,video-rnn,
results,voe accuracy scores,
results,vt model,
riochet et al.,shu et al.,
riochet et al.,violation of expectation paradigm,
riochet et al.,weihs et al.,
rnn,state embedding,
shape,transformer,
shape,type,
shu et al.,violation of expectation paradigm,
shu et al.,weihs et al.,
simulation,physical scene understanding,
single-object multiple-agent,training trials,
social iqa: commonsense reasoning about social interactions,proceedings of the 2019 conference on empirical methods in natural language processing and the 9th international joint conference on natural language pro,
solving the baby intuitions benchmark with a hierarchically bayesian theory of mind,robotics: science and systems workshop on social intelligence in humans and robots,
spatial relations,transformer,
spatial relations,type,
stack of six layers,state encoder,
stack of six layers,transformer encoder,
state and context representations,training tasks,
state embedding,state encoder,
state embedding,test frame graph,
state encoder,sub-tasks,
state encoder,tasks,
state encoder,trajectories,
state encoder,transformer context encoder,
state encoder,transformer encoder,
state encoder,trials,
state encoder,video-rnn,
state encoder,voe accuracy scores,
state encoder,vt model,
state encoder,test frame graph,
state-action pairs,vt,
states,transformer,
states,type,
sub-tasks,tasks,
sub-tasks,trajectories,
sub-tasks,transformer context encoder,
sub-tasks,trials,
tasks,tasks,
tasks,test trials,
tasks,training set,
tasks,trajectories,
tasks,transformer context encoder,
tasks,trials,
tasks,unexpected trials,
tasks,voe paradigm,
teachers’ extent of the use of particular task types in mathematics,mathematics education research group of australasia,
test trial,vt,
test trial,voe paradigm,
test trials,training and evaluation tasks,
test trials,video,
test trials,voe paradigm,
theory of mind network,video transformer,
theory of mind network,vt,
training and evaluation on the baby intuitions benchmark,transformer,
training and evaluation on the baby intuitions benchmark,type,
training and evaluation tasks,voe paradigm,
training tasks,transformer,
training tasks,unseen evaluation tasks,
training tasks,video transformer,
training tasks,vt,
trajectories,trials,
transformer,type,
transformer,video transformer,
transformer,violation of expectation paradigm,
transformer,vt,
transformer,weights,
transformer context encoder,trials,
transformer encoder,trial representations,
transformer encoder,video-rnn,
transformer encoder,voe accuracy scores,
transformer encoder,vt model,
type,violation of expectation paradigm,
type,weights,
"vaswani, a.","shazeer, n.",
video,voe paradigm,
video frames,video transformer,
video frames,vt,
video transformer,vt,
video transformer network,ieee/cvf international conference on computer vision,
video transformer network,proceedings of the,
voe paradigm,vt,
winogrande: an adversarial winograd schema challenge at scale,communications of the acm,
